Date,Open,High,Low,Close,Adj Close,Volume
2017-02-14,503.0,506.700012,466.549988,482.049988,482.049988,14901414
2017-02-15,449.049988,453.0,434.35000599999995,436.450012,436.450012,38638630
2017-02-16,442.549988,447.60000599999995,435.39999400000005,446.0,446.0,11622714
2017-02-17,447.89999400000005,456.60000599999995,442.39999400000005,452.950012,452.950012,10063504
2017-02-20,451.5,458.450012,449.0,455.450012,455.450012,5866707
2017-02-21,456.89999400000005,462.799988,454.5,458.64999400000005,458.64999400000005,6875914
2017-02-22,460.25,466.700012,455.799988,460.049988,460.049988,7315280
2017-02-23,464.0,464.700012,457.25,462.35000599999995,462.35000599999995,9492419
2017-02-27,464.0,464.0,455.10000599999995,457.799988,457.799988,5510484
2017-02-28,460.0,460.0,454.10000599999995,456.75,456.75,5722402
2017-03-01,455.89999400000005,455.89999400000005,448.0,449.450012,449.450012,8367579
2017-03-02,457.85000599999995,467.89999400000005,453.200012,461.700012,461.700012,13667695
2017-03-03,463.299988,466.85000599999995,458.60000599999995,459.950012,459.950012,7085620
2017-03-06,462.5,472.700012,462.10000599999995,470.799988,470.799988,4036291
2017-03-07,469.5,475.89999400000005,466.049988,467.549988,467.549988,7114541
2017-03-08,469.39999400000005,469.60000599999995,461.14999400000005,462.799988,462.799988,5351597
2017-03-09,462.450012,469.700012,462.0,467.60000599999995,467.60000599999995,3837624
2017-03-10,471.0,471.85000599999995,465.10000599999995,469.10000599999995,469.10000599999995,5766815
2017-03-14,481.0,483.0,468.450012,469.75,469.75,6348198
2017-03-15,475.0,476.549988,470.64999400000005,473.450012,473.450012,4801312
2017-03-16,478.700012,482.0,476.14999400000005,480.950012,480.950012,6272947
2017-03-17,481.35000599999995,484.200012,471.700012,476.5,476.5,6338248
2017-03-20,476.549988,478.200012,470.75,476.0,476.0,2871104
2017-03-21,478.0,478.049988,470.64999400000005,473.75,473.75,4685410
2017-03-22,469.950012,469.950012,458.5,459.89999400000005,459.89999400000005,4695648
2017-03-23,461.299988,477.0,461.299988,472.89999400000005,472.89999400000005,8665384
2017-03-24,470.75,474.799988,467.549988,470.39999400000005,470.39999400000005,4296510
2017-03-27,469.0,469.14999400000005,462.10000599999995,464.75,464.75,4417413
2017-03-28,467.5,473.0,467.5,472.39999400000005,472.39999400000005,2982614
2017-03-29,474.89999400000005,475.0,463.60000599999995,469.049988,469.049988,6680569
2017-03-30,463.5,469.799988,462.85000599999995,468.39999400000005,468.39999400000005,9482785
2017-03-31,466.5,472.5,464.5,465.85000599999995,465.85000599999995,6400088
2017-04-03,468.25,472.299988,467.60000599999995,470.39999400000005,470.39999400000005,2951896
2017-04-05,470.39999400000005,475.0,467.25,473.5,473.5,5287168
2017-04-06,474.299988,478.5,470.60000599999995,473.200012,473.200012,6703078
2017-04-07,468.450012,480.549988,466.64999400000005,468.299988,468.299988,8089461
2017-04-10,471.64999400000005,478.299988,467.549988,474.89999400000005,474.89999400000005,5437523
2017-04-11,477.89999400000005,478.35000599999995,471.10000599999995,472.25,472.25,4887918
2017-04-12,468.700012,471.549988,461.60000599999995,464.549988,464.549988,5991598
2017-04-13,461.85000599999995,463.35000599999995,451.200012,453.35000599999995,453.35000599999995,5930185
2017-04-17,452.0,455.700012,447.299988,449.200012,449.200012,4913930
2017-04-18,452.0,455.75,442.5,443.700012,443.700012,4235130
2017-04-19,443.0,449.5,438.299988,443.049988,443.049988,6319332
2017-04-20,447.85000599999995,447.85000599999995,442.10000599999995,443.950012,443.950012,3288900
2017-04-21,446.75,448.450012,437.60000599999995,440.60000599999995,440.60000599999995,5325590
2017-04-24,439.799988,449.0,438.75,443.85000599999995,443.85000599999995,6214069
2017-04-25,445.85000599999995,447.75,443.299988,445.64999400000005,445.64999400000005,5894090
2017-04-26,446.0,454.39999400000005,445.5,450.799988,450.799988,8438042
2017-04-27,455.0,460.89999400000005,452.700012,455.35000599999995,455.35000599999995,10589249
2017-04-28,457.10000599999995,462.0,454.39999400000005,458.89999400000005,458.89999400000005,5126904
2017-05-02,456.60000599999995,457.200012,448.549988,451.25,451.25,6071958
2017-05-03,451.35000599999995,456.0,444.64999400000005,446.60000599999995,446.60000599999995,5158586
2017-05-04,446.64999400000005,448.10000599999995,435.14999400000005,436.5,436.5,6204022
2017-05-05,436.5,436.5,418.0,419.60000599999995,419.60000599999995,9487539
2017-05-08,424.75,428.700012,417.25,422.64999400000005,422.64999400000005,7427873
2017-05-09,424.75,428.799988,422.700012,426.799988,426.799988,2833132
2017-05-10,427.799988,433.0,424.0,432.299988,432.299988,5378402
2017-05-11,434.0,434.5,425.39999400000005,427.450012,427.450012,4049649
2017-05-12,429.64999400000005,433.799988,427.450012,430.85000599999995,430.85000599999995,3850940
2017-05-15,434.0,434.0,430.10000599999995,431.89999400000005,431.89999400000005,1885702
2017-05-16,432.25,439.5,432.25,437.25,437.25,3452072
2017-05-17,436.5,452.5,435.10000599999995,449.10000599999995,449.10000599999995,6572678
2017-05-18,442.0,448.700012,436.0,437.950012,437.950012,6158546
2017-05-19,439.0,444.950012,434.60000599999995,443.35000599999995,443.35000599999995,4387481
2017-05-22,446.0,452.75,442.60000599999995,449.64999400000005,449.64999400000005,6145914
2017-05-23,451.450012,456.450012,444.299988,450.5,450.5,10330814
2017-05-24,470.0,473.35000599999995,458.10000599999995,469.549988,469.549988,27370795
2017-05-25,470.0,479.0,464.700012,476.0,476.0,15108872
2017-05-26,474.10000599999995,488.25,473.5,481.10000599999995,481.10000599999995,7692869
2017-05-29,482.5,485.0,471.799988,481.5,481.5,4253044
2017-05-30,482.700012,487.0,480.0,481.299988,481.299988,3101380
2017-05-31,482.299988,483.0,474.799988,476.14999400000005,476.14999400000005,5393856
2017-06-01,476.950012,479.700012,473.549988,476.64999400000005,476.64999400000005,3001232
2017-06-02,480.0,485.950012,477.700012,478.75,478.75,4319080
2017-06-05,478.299988,481.89999400000005,475.200012,478.14999400000005,478.14999400000005,2464819
2017-06-06,482.89999400000005,484.35000599999995,457.60000599999995,461.0,461.0,8016939
2017-06-07,462.549988,463.64999400000005,453.5,458.0,458.0,5250544
2017-06-08,459.5,463.450012,457.35000599999995,460.799988,460.799988,4066322
2017-06-09,459.950012,468.0,455.0,467.10000599999995,467.10000599999995,4598706
2017-06-12,463.75,465.25,455.200012,456.25,456.25,4341696
2017-06-13,457.14999400000005,458.75,448.0,449.549988,449.549988,3577406
2017-06-14,450.799988,453.39999400000005,447.049988,451.950012,451.950012,3605931
2017-06-15,452.0,457.85000599999995,446.950012,448.299988,448.299988,3879154
2017-06-16,454.700012,458.39999400000005,452.0,455.75,455.75,7042094
2017-06-19,453.799988,456.39999400000005,450.5,452.35000599999995,452.35000599999995,3869675
2017-06-20,457.0,470.75,456.0,467.39999400000005,467.39999400000005,12014975
2017-06-21,466.0,466.0,455.5,457.299988,457.299988,5436141
2017-06-22,458.85000599999995,463.0,451.60000599999995,452.700012,452.700012,5008885
2017-06-23,454.0,456.5,442.39999400000005,443.14999400000005,443.14999400000005,6753648
2017-06-27,443.799988,444.5,434.39999400000005,442.299988,442.299988,5915274
2017-06-28,443.89999400000005,446.799988,440.14999400000005,442.5,442.5,4960238
2017-06-29,444.5,446.25,434.0,435.60000599999995,435.60000599999995,11085101
2017-06-30,433.89999400000005,435.60000599999995,428.049988,432.549988,432.549988,4776892
2017-07-03,431.5,434.700012,426.25,430.25,430.25,6230025
